sku,priceCents,nome,compareAtCents,shortBenefit,description,seoTitle,seoDescription
MJOY-0001,6590,5-HTP 50 mg,,Fórmula manipulada para apoiar sono. Qualidade e entrega nacional.,"5-HTP 50 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: 5-HTP 50 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",5-HTP 50 mg | Me Joy,5-HTP 50 mg. Fórmula manipulada. Entrega em todo Brasil. Me Joy.
MJOY-0002,6590,Cúrcuma 450 mg,,Fórmula manipulada para apoiar saúde. Qualidade e entrega nacional.,"Cúrcuma 450 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Cúrcuma 450 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Cúrcuma 450 mg | Me Joy,Cúrcuma 450 mg. Fórmula manipulada. Entrega em todo Brasil. Me Joy.
MJOY-0003,5590,Minoxidil Turbinado 100 mL,,Fórmula manipulada para apoiar cabelo. Qualidade e entrega nacional.,"Minoxidil Turbinado 100 mL é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Minoxidil Turbinado 100 mL. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Minoxidil Turbinado 100 mL | Me Joy,Minoxidil Turbinado 100 mL. Fórmula manipulada. Entrega em todo Brasil. Me Joy.
MJOY-0004,6590,Morosil 500 mg,,Fórmula manipulada para apoiar emagrecimento & metabolismo. Qualidade e entrega nacional.,"Morosil 500 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Morosil 500 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Morosil 500 mg | Me Joy,Morosil 500 mg. Fórmula manipulada. Entrega em todo Brasil. Me Joy.
MJOY-0005,8590,Citrato de Magnésio 500 mg,,Fórmula manipulada para apoiar saúde. Qualidade e entrega nacional.,"Citrato de Magnésio 500 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Citrato de Magnésio 500 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Citrato de Magnésio 500 mg | Me Joy,Citrato de Magnésio 500 mg. Fórmula manipulada. Entrega em todo Brasil. Me Joy.
MJOY-0006,6590,Vitamina D3 2000 UI,,Fórmula manipulada para apoiar imunidade. Qualidade e entrega nacional.,"Vitamina D3 2000 UI é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Vitamina D3 2000 UI. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Vitamina D3 2000 UI | Me Joy,Vitamina D3 2000 UI. Fórmula manipulada. Entrega em todo Brasil. Me Joy.
MJOY-0007,7990,Silimarina 200 mg,,Fórmula manipulada para apoiar pele & beleza. Qualidade e entrega nacional.,"Silimarina 200 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Silimarina 200 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Silimarina 200 mg | Me Joy,Silimarina 200 mg. Fórmula manipulada. Entrega em todo Brasil. Me Joy.
MJOY-0008,6590,Saw Palmetto 160 mg,,Fórmula manipulada para apoiar cabelo. Qualidade e entrega nacional.,"Saw Palmetto 160 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Saw Palmetto 160 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Saw Palmetto 160 mg | Me Joy,Saw Palmetto 160 mg. Fórmula manipulada. Entrega em todo Brasil. Me Joy.
MJOY-0009,6590,Rhodiola Rosea 200 mg,,Fórmula manipulada para apoiar ansiedade & humor. Qualidade e entrega nacional.,"Rhodiola Rosea 200 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Rhodiola Rosea 200 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Rhodiola Rosea 200 mg | Me Joy,Rhodiola Rosea 200 mg. Fórmula manipulada. Entrega em todo Brasil. Me Joy.
MJOY-0010,8590,Maca Peruana 500 mg,,Fórmula manipulada para apoiar hormonal & libido. Qualidade e entrega nacional.,"Maca Peruana 500 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Maca Peruana 500 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Maca Peruana 500 mg | Me Joy,Maca Peruana 500 mg. Fórmula manipulada. Entrega em todo Brasil. Me Joy.
MJOY-0011,8590,Tribulus Terrestris 500 mg (40% saponinas),,Fórmula manipulada para apoiar hormonal & libido. Qualidade e entrega nacional.,"Tribulus Terrestris 500 mg (40% saponinas) é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Tribulus Terrestris 500 mg (40% saponinas). Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Tribulus Terrestris 500 mg (40% saponinas) | Me Joy,Tribulus Terrestris 500 mg (40% saponinas). Fórmula manipulada. Entrega em todo Brasil. Me Joy.
MJOY-0012,7990,Cafeína 420 mg,,Fórmula manipulada para apoiar energia & performance. Qualidade e entrega nacional.,"Cafeína 420 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Cafeína 420 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Cafeína 420 mg | Me Joy,Cafeína 420 mg. Fórmula manipulada. Entrega em todo Brasil. Me Joy.
MJOY-0013,10290,Berberina 500 mg,,Fórmula manipulada para apoiar emagrecimento & metabolismo. Qualidade e entrega nacional.,"Berberina 500 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Berberina 500 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Berberina 500 mg | Me Joy,Berberina 500 mg. Fórmula manipulada. Entrega em todo Brasil. Me Joy.
MJOY-0014,6590,Picolinato de Cromo 200 mcg,,Fórmula manipulada para apoiar emagrecimento & metabolismo. Qualidade e entrega nacional.,"Picolinato de Cromo 200 mcg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Picolinato de Cromo 200 mcg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Picolinato de Cromo 200 mcg | Me Joy,Picolinato de Cromo 200 mcg. Fórmula manipulada. Entrega em todo Brasil. Me Joy.
MJOY-0015,6590,Multivitamínico A-Z,,Fórmula manipulada para apoiar imunidade. Qualidade e entrega nacional.,"Multivitamínico A-Z é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Multivitamínico A-Z. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Multivitamínico A-Z | Me Joy,Multivitamínico A-Z. Fórmula manipulada. Entrega em todo Brasil. Me Joy.
MJOY-0016,6590,Inositol 500 mg,,Fórmula manipulada para apoiar ansiedade & humor. Qualidade e entrega nacional.,"Inositol 500 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Inositol 500 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Inositol 500 mg | Me Joy,Inositol 500 mg. Fórmula manipulada. Entrega em todo Brasil. Me Joy.
MJOY-0017,10290,Coenzima Q10 100 mg,,Fórmula manipulada para apoiar energia & performance. Qualidade e entrega nacional.,"Coenzima Q10 100 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Coenzima Q10 100 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Coenzima Q10 100 mg | Me Joy,Coenzima Q10 100 mg. Fórmula manipulada. Entrega em todo Brasil. Me Joy.
MJOY-0018,7990,NAC 600 mg,,Fórmula manipulada para apoiar pele & beleza. Qualidade e entrega nacional.,"NAC 600 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: NAC 600 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",NAC 600 mg | Me Joy,NAC 600 mg. Fórmula manipulada. Entrega em todo Brasil. Me Joy.
