sku,priceCents,nome,compareAtCents,shortBenefit,description,seoTitle,seoDescription
MEJOY-0001,4900,5 HTP 100 mg,,"Apoia equilíbrio emocional, foco e resposta ao estresse.","5 HTP 100 mg é uma fórmula manipulada pensada para apoia equilíbrio emocional, foco e resposta ao estresse. Composição/ativo principal: 5 HTP. Apresentação: cápsulas (60 cápsulas). Modo de uso: utilize conforme orientação de profissional de saúde. Cuidados: gestantes, lactantes e crianças devem consultar médico antes do uso. Este produto não substitui uma alimentação equilibrada e hábitos saudáveis.",5 HTP 100 mg | Me Joy,"5 HTP 100 mg. Apoia equilíbrio emocional, foco e resposta ao estresse. Fórmula manipulada. Entrega nacional. Me Joy."
MEJOY-0002,2800,5 HTP 50 mg,,"Apoia equilíbrio emocional, foco e resposta ao estresse.","5 HTP 50 mg é uma fórmula manipulada pensada para apoia equilíbrio emocional, foco e resposta ao estresse. Composição/ativo principal: 5 HTP. Apresentação: cápsulas (30 cápsulas). Modo de uso: utilize conforme orientação de profissional de saúde. Cuidados: gestantes, lactantes e crianças devem consultar médico antes do uso. Este produto não substitui uma alimentação equilibrada e hábitos saudáveis.",5 HTP 50 mg | Me Joy,"5 HTP 50 mg. Apoia equilíbrio emocional, foco e resposta ao estresse. Fórmula manipulada. Entrega nacional. Me Joy."
MEJOY-0003,5500,AC MÁLICO + MAGNÉSIO QUELATO,,"Apoia equilíbrio emocional, foco e resposta ao estresse.","AC MÁLICO + MAGNÉSIO QUELATO é uma fórmula manipulada pensada para apoia equilíbrio emocional, foco e resposta ao estresse. Composição/ativo principal: AC MÁLICO + MAGNÉSIO QUELATO. Apresentação: cápsulas (90 cápsulas). Modo de uso: utilize conforme orientação de profissional de saúde. Cuidados: gestantes, lactantes e crianças devem consultar médico antes do uso. Este produto não substitui uma alimentação equilibrada e hábitos saudáveis.",AC MÁLICO + MAGNÉSIO QUELATO | Me Joy,"AC MÁLICO + MAGNÉSIO QUELATO. Apoia equilíbrio emocional, foco e resposta ao estresse. Fórmula manipulada. Entrega nacional. Me Joy."
MEJOY-0004,3400,ASWHAGANDA  (GINSENG INDIANDO) 500 mg,,"Apoia equilíbrio emocional, foco e resposta ao estresse.","ASWHAGANDA  (GINSENG INDIANDO) 500 mg é uma fórmula manipulada pensada para apoia equilíbrio emocional, foco e resposta ao estresse. Composição/ativo principal: ASWHAGANDA  (GINSENG INDIANDO). Apresentação: cápsulas (30 cápsulas). Modo de uso: utilize conforme orientação de profissional de saúde. Cuidados: gestantes, lactantes e crianças devem consultar médico antes do uso. Este produto não substitui uma alimentação equilibrada e hábitos saudáveis.",ASWHAGANDA  (GINSENG INDIANDO) 500 mg | Me Joy,"ASWHAGANDA  (GINSENG INDIANDO) 500 mg. Apoia equilíbrio emocional, foco e resposta ao estresse. Fórmula manipulada. Entrega nacional. Me Joy."
MEJOY-0005,7400,ASWHAGANDA  (GINSENG INDIANDO) 500 mg,,"Apoia equilíbrio emocional, foco e resposta ao estresse.","ASWHAGANDA  (GINSENG INDIANDO) 500 mg é uma fórmula manipulada pensada para apoia equilíbrio emocional, foco e resposta ao estresse. Composição/ativo principal: ASWHAGANDA  (GINSENG INDIANDO). Apresentação: cápsulas (60 cápsulas). Modo de uso: utilize conforme orientação de profissional de saúde. Cuidados: gestantes, lactantes e crianças devem consultar médico antes do uso. Este produto não substitui uma alimentação equilibrada e hábitos saudáveis.",ASWHAGANDA  (GINSENG INDIANDO) 500 mg | Me Joy,"ASWHAGANDA  (GINSENG INDIANDO) 500 mg. Apoia equilíbrio emocional, foco e resposta ao estresse. Fórmula manipulada. Entrega nacional. Me Joy."
MEJOY-0006,8300,ATIVOS QUE AUXILIAM NA QUALIDADE DO SONO,,"Apoia equilíbrio emocional, foco e resposta ao estresse.","ATIVOS QUE AUXILIAM NA QUALIDADE DO SONO é uma fórmula manipulada pensada para apoia equilíbrio emocional, foco e resposta ao estresse. Composição/ativo principal: ATIVOS QUE AUXILIAM NA QUALIDADE DO SONO. Apresentação: cápsulas (60 cápsulas). Modo de uso: utilize conforme orientação de profissional de saúde. Cuidados: gestantes, lactantes e crianças devem consultar médico antes do uso. Este produto não substitui uma alimentação equilibrada e hábitos saudáveis.",ATIVOS QUE AUXILIAM NA QUALIDADE DO SONO | Me Joy,"ATIVOS QUE AUXILIAM NA QUALIDADE DO SONO. Apoia equilíbrio emocional, foco e resposta ao estresse. Fórmula manipulada. Entrega nacional. Me Joy."
MEJOY-0007,6700,BACOPA MONNIERI 250 mg,,"Apoia equilíbrio emocional, foco e resposta ao estresse.","BACOPA MONNIERI 250 mg é uma fórmula manipulada pensada para apoia equilíbrio emocional, foco e resposta ao estresse. Composição/ativo principal: BACOPA MONNIERI. Apresentação: cápsulas (60 cápsulas). Modo de uso: utilize conforme orientação de profissional de saúde. Cuidados: gestantes, lactantes e crianças devem consultar médico antes do uso. Este produto não substitui uma alimentação equilibrada e hábitos saudáveis.",BACOPA MONNIERI 250 mg | Me Joy,"BACOPA MONNIERI 250 mg. Apoia equilíbrio emocional, foco e resposta ao estresse. Fórmula manipulada. Entrega nacional. Me Joy."
MEJOY-0008,3000,GINSENG PANAX 200 mg,,"Apoia equilíbrio emocional, foco e resposta ao estresse.","GINSENG PANAX 200 mg é uma fórmula manipulada pensada para apoia equilíbrio emocional, foco e resposta ao estresse. Composição/ativo principal: GINSENG PANAX. Apresentação: cápsulas (60 cápsulas). Modo de uso: utilize conforme orientação de profissional de saúde. Cuidados: gestantes, lactantes e crianças devem consultar médico antes do uso. Este produto não substitui uma alimentação equilibrada e hábitos saudáveis.",GINSENG PANAX 200 mg | Me Joy,"GINSENG PANAX 200 mg. Apoia equilíbrio emocional, foco e resposta ao estresse. Fórmula manipulada. Entrega nacional. Me Joy."
MEJOY-0009,3400,INOSITOL 500 mg,,"Apoia equilíbrio emocional, foco e resposta ao estresse.","INOSITOL 500 mg é uma fórmula manipulada pensada para apoia equilíbrio emocional, foco e resposta ao estresse. Composição/ativo principal: INOSITOL. Apresentação: cápsulas (60 cápsulas). Modo de uso: utilize conforme orientação de profissional de saúde. Cuidados: gestantes, lactantes e crianças devem consultar médico antes do uso. Este produto não substitui uma alimentação equilibrada e hábitos saudáveis.",INOSITOL 500 mg | Me Joy,"INOSITOL 500 mg. Apoia equilíbrio emocional, foco e resposta ao estresse. Fórmula manipulada. Entrega nacional. Me Joy."
MEJOY-0010,3800,L TEANINE 200 mg,,"Apoia equilíbrio emocional, foco e resposta ao estresse.","L TEANINE 200 mg é uma fórmula manipulada pensada para apoia equilíbrio emocional, foco e resposta ao estresse. Composição/ativo principal: L TEANINE. Apresentação: cápsulas (60 cápsulas). Modo de uso: utilize conforme orientação de profissional de saúde. Cuidados: gestantes, lactantes e crianças devem consultar médico antes do uso. Este produto não substitui uma alimentação equilibrada e hábitos saudáveis.",L TEANINE 200 mg | Me Joy,"L TEANINE 200 mg. Apoia equilíbrio emocional, foco e resposta ao estresse. Fórmula manipulada. Entrega nacional. Me Joy."
